Bellucci;@nicomoukx3;1476387187;@lastacass en plus rohff >>booba;1;1;0;
LE GRAND MECHANT YOU;@Tallac212;1476384803;Mon enfance moi c etait mister you booba rohff la fouine;0;1;1;
Emre;@EmreBash_DT;1476381641;Booba il a graille Rohff ces dernières années https://twitter.com/Booba_infos_/status/786623078763749377 …;1;11;3;
Sazamizi;@DSH93220;1476365805;- Booba - Rohff - Lino - Kery James - Dosseh - Kaaris - Mac Tyer J'marrête ici parce que je respecte Niro mais mister you ajd https://twitter.com/75__213/status/785612044288622592 …;0;2;1;
xilea;@xilea_;1476358973;@gwadaveli rohff. Haineux comme lui et jaloux de goku comme rohff l'est de booba ha ha;1;2;1;
Habib Buzz Day;@HabibBuzzDay;1476351422;Hillary Clinton et Donald Trump on dirais le clash Rohff vs Booba a l'ancienne;0;92;37;
Toto Jr.;@Toooto_13;1476318810;Faith +1 >>> Jul+Booba+Rohff et tout vos rappeurs débiles pic.twitter.com/CKv5yTvp3V;4;51;29;
ا;@ummweldi;1476307742;@Nonamenokunya ptdrr mister you avant la fouine rohff booba niro vois un peu l'instabilité...;2;0;1;
PIKA 🔥;@pikapikamel;1476307298;A l'epoque les sons de Rohff, Booba,Kaaris c'était du lourd pas comme leurs sons d'aujourd'hui;0;0;0;
Dime;@mehdi_ben130;1476306782;rohff>>booba :);1;3;2;
#S;@CTrousselle;1476305177;J'ai vu Booba, Rohff, Lacrim, Kaaris, Gradur, l'Algerino et bientôt Mz et Jujujul;0;0;3;
 🍼OPPAI 🍼;@chargeurplein;1476302620;Tu penses que Rohff est malade ? Genre des problème... — Oui (mais pas à cause de Booba) http://curiouscat.me/chargeurplein/post/31350079 …;0;0;0;
Ilyess;@uhIlyess;1476299882;@pixeh_ @YouTube mon cousin il était a plein de concert depuis 94 et il est allez dans le zenith de rohff et le bercy de booba il ma dit;0;1;0;
manza moussa;@salah_looping_;1476296125;dja dja et dinaz on c ft seul > booba rohff;0;0;0;
M.;@m_brantt95;1476287781;L'nterview de la Mz sur rapelite, Jokair il est marrant et de cke g compris lui booba les 2 autres rohff jcomprends pk cst le meilleur;3;13;3;
 🍼OPPAI 🍼;@chargeurplein;1476287721;Si les carrières de Booba et rohff s'arrêtaient auj... — Booba, les deux. L'image de Rohff est entachée. http://curiouscat.me/chargeurplein/post/31257121 …;0;0;0;
iften;@titenos;1476281389;Rohff feat jenaa lee > booba feat christines and the queens mdr et puis au moins mon rappeur il cours pas devant la fouine https://twitter.com/enima__/status/786206952011526144 …;0;1;0;
ⵣ 🇩🇿ⵣ 🇩🇿ⵣ 🇩🇿ⵣ;@NassimKabyle;1476279377;Le jour où Booba écrira un des classique de rohff ca sera la fin du monde https://twitter.com/si_liess/status/701120661809455104 …;0;0;0;
MAXENZINHO;@CapoTreeize;1476274420;Incroyable les gens téléchargent les albums classiques de Rohff Booba etc mais achètent Elams;0;0;1;
Sasuke  🌙;@Jasoniito;1476265044;J'suis en mode je réécoute les classiques d'booba d'rohff d'jul ... hein quoi ?;0;1;1;
Arsène Molotov;@ArseneMolotov;1476264683;@Lumiere__6 En plus ils mettent Booba dans le même paragraphe que Rohff;1;0;0;
Rapmag de Rohff;@RAPMAGROHFF;1476245542;Booba lance ses propres émojis, on en a imaginés à l'effigie de La Fouine et Rohff et ça peut être ... Booba a lan… https://www.google.com/url?rct=j&sa=t&url=http://www.melty.fr/booba-lance-ses-propres-emojis-on-en-a-imagine-a-l-effigie-de-la-fouine-et-rohff-et-ca-peut-etre-bien-drole-a564633.html&ct=ga&cd=CAIyGWM3NzdkMWFjZTBlOWQ3ODA6ZnI6ZnI6RlI&usg=AFQjCNHLnuas1GDTWQtVEGRiZKKVRtFASw …;0;1;0;
The Homeboys;@simon__adebisi;1476230072;Quand j'vois un mec dire " J'aime bien Booba mais sah Rohff est bien meilleur " pic.twitter.com/ca9gzNZXlm;1;30;7;
Renoi du 94;@lecoupdusiecle;1476226294;Les ga qui disent que booba c un enculé j'sais pa quoi, n'oubliez pa ske le ga dla petio clik avait tweeter sur rohff;2;1;0;
Renoi du 94;@lecoupdusiecle;1476222682;Demain booba dit ' jrefais du rap a l'ancienne ' sa dira il est trop chaud rohff s'adapte sa dira maintenant qu'il vend plus il s'y met...;1;19;2;
Renoi du 94;@lecoupdusiecle;1476222532;La plupart j'vous comprend quand vous dites rohff veut pa s'adapter... Mai avouez que si sa serai dans cette optique booba sa lui luxerai...;1;8;2;
 ⚽️;@bogina_sz;1476217934;" le boule est plat, tu ne fais pas vraiment de squat" Booba toi aussi tu veux me clasher ? Ok Go écouter Rohff;0;0;2;
Diazzir 101%;@DiazzirJones;1476216914;On reprend les phases de Booba mais les expressions de Rohff resteront à jamais dans les annales;0;3;1;
marwanophile;@212Galatasaray;1476210050;@Abdelpnl Booba Couleur ebene Rohff Testament Maitre gims VQ2PQ Booba Pitbull Booba Ma couleur Kaaris Zoo plein d'autres aussi;0;0;1;
